Service;Subservice;Area Of Service ;Provinsi;Kab/Kota (Edit);Clnt Id;Clnt Name;Appl Id;Request Reference;Status Simf;Channel;Freq;Freq_Pair;Bwidth;Erp Pwr Dbm;Curr Lic Num;Site Id;Stn Name;Stn Addr;Sid Lat;Sid Long;License Date ;Validity Date ;Ap Id;Tcs Id;Efl Id;Stasiun Lawan;Kab/Kota;NAMA UNIT PELAKSANA TEKNIS;BAND;15 Pita
Land Mobile (private);Standard;JALAN SRIWIJAYA NO. 24 CILINAYA KECAMATAN CAKRANEGARA, KOTA MATARAM, CAKRANEGARA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00102428;GARDA LINTAS SARANA, PT.;034897032021;1083250;Granted;;151.35;151.35;16;36.9897;02434615-000SU/0620212026;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN CAKRANEGARA;JALAN SRIWIJAYA NO. 24 CILINAYA KECAMATAN CAKRANEGARA;-8.59391667;116.11911111;22/03/2021;21/03/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN PERTANIAN NO. 6 KECAMATAN CAKRANEGARA, KOTA MATARAM, SANDUBAYA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00116888;SURYA INDAH CAKRAWALA, PT.;032665022021;1080215;Granted;;166.775;166.775;16;36.9897;02432021-000SU/0620212026;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN CAKRANEGARA;JALAN PERTANIAN NO. 6 KECAMATAN CAKRANEGARA;-8.58473056;116.15077778;15/03/2021;14/03/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN LANGKO NO. 21 - 23  KECAMATAN SELAPARANG, KOTA MATARAM, SELAPRANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00108607;LANGKO ANUGRAH SEJAHTERA, PT.;034266032021;1079054;Granted;;354.85;354.85;16;36.9897;02431469-000SU/0620212026;0001;HT. 01 BERGERAK DISEKITAR KECAMATAN SELAPARANG;JALAN LANGKO NO. 21 - 23  KECAMATAN SELAPARANG;-8.58066667;116.09761111;13/03/2021;12/03/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN MAJAPAHIT NO 10 MATARAM KELURAHAN PAGESANGAN BARAT, KOTA MATARAM, MATARAM, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00117352;GRHA ULTIMA MEDIKA, PT.;030915012021;1056584;Granted;;150.95;150.95;16;36.9897;02416717-000SU/0620212026;0002;HT. 02 - 04 BERGERAK DISEKITAR KECAMATAN MATARAM;JALAN MAJAPAHIT NO 10 MATARAM KELURAHAN PAGESANGAN BARAT;-8.59416667;116.09833333;24/01/2021;23/01/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN LANGKO NO. 2 - 4 MATARAM KELURAHAN DASAN AGUNG, KOTA MATARAM, SELAPRANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00110120;BAHAGIA BANGUNNUSA, PT.;038740022020;0851289;Granted;;159.775;164.75;16;36.9897;02243140-000SU/0620202025;0002;HT. 01-40 BERGERAK DISEKITAR KECAMATAN CAKRANEGARA;JALAN LANGKO NO. 2 - 4 MATARAM KELURAHAN DASAN AGUNG;-8.57972222;116.10183611;10/02/2020;09/02/2030;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN JEND SUDIRMAN  NO. 40 MATARAM KELURAHAN SELAPARANG, KOTA MATARAM, SELAPRANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00115429;DINAS PERHUBUNGAN KOTA MATARAM;039226102019;0776244;Granted;;162.725;167.75;16;36.9897;02157396-000SU/0620192024;0002;HT. 01 - 40 BERGERAK DISEKITAR KEC. CAKRANEGARA;JALAN JEND SUDIRMAN  NO. 40 MATARAM KELURAHAN SELAPARANG;-8.56484444;116.12194444;09/10/2019;08/10/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN JENDERAL SUDIRMAN NO. 81 REMBIGA KECAMATAN SELAPARANG, KOTA MATARAM, SELAPRANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00115601;BALIFOAM NUSAMEGAH, PT.;032188112019;0804004;Granted;;150.325;150.325;16;36.9897;02190534-000SU/0620192024;0002;HT. 02 BERGERAK DISEKITAR KECAMATAN SELAPARANG;JALAN JENDERAL SUDIRMAN NO. 81 REMBIGA KECAMATAN SELAPARANG;-8.56338889;116.11886111;11/11/2019;10/11/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL.RAYA AA GDE NGURAH NO. 9, KOTA MATARAM, SANDUBAYA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00103857;LOTTE SHOPPING INDONESIA, PT.;033290112019;0820777;Granted;;353.6;353.6;16;36.9897;02212929-000SU/0620192024;0002;HT. 02-15 BERGERAK JL.RAYA AA GDE NGURAH NO. 9;JL.RAYA AA GDE NGURAH NO. 9;-8.5995;116.12786111;22/11/2019;21/11/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JL. PANCA USAHA NO. 11, KOTA MATARAM, CAKRANEGARA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00101075;SURYA CEMERLANG SEJAHTERA, PT.;037558032016;0364450;Granted;;152.9;157.85;16;36.99;;0002;HT. 01-40 BERGERAK SEKIATR LOMBOK RAYA;JL. PANCA USAHA NO. 11;-8.59;116.11833333;22/04/2016;21/04/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN BUNG KARNO NO. 7 MATARAM, KOTA MATARAM, CAKRANEGARA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00114880;BINTANG GRANA DARMA, PT.;038240092019;0770017;Granted;;153.125;153.125;16;36.9897;02151599-000SU/0620192024;0002;HT. 02-10 BERGERAK DISEKITAR KECAMATAN CAKRANEGARA;JALAN BUNG KARNO NO. 7 MATARAM;-8.58921389;116.11800833;30/09/2019;29/09/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Broadcast;FM;KOTA MATARAM;NUSA TENGGARA BARAT;KOTA MATARAM;1035;LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA;010334012021;1055368;Granted;;94.3;;300;72.2897;02415821-000SU/2020212026;0001;LPP RRI MATARAM 94.3 MHz;KOMPLEK PEMANCAR JL. MAJAPAHIT, TAMAN SARI;-8.57938333;116.08264722;21/01/2021;20/01/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;JL.BY PASS BIL PRAYA LOMBOK, KOTA MATARAM, SELAPRANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00102945;PRATHITA TITIANNUSANTARA, PT.;033995082019;0736542;Granted;;162.7;162.7;16;36.9897;02129949-000SU/0620192024;0002;HT.02-03 BERGERAK SEKITAR JL.BY PASS BIL PRAYA LOMBOK;JL.BY PASS BIL PRAYA LOMBOK;-8.56194444;116.09944444;12/08/2019;11/08/2034;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;Jalan Sriwijaya No. 333, KOTA MATARAM, MATARAM, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00110045;NUSANTARA SEJAHTERA RAYA TBK, PT.;039642032018;0588899;Granted;;353.35;353.35;16;36.9897;02023936-000SU/0620182023;0002;HT. 02-04 BIOSKOP LEM XXI MATARAM;Jalan Sriwijaya No. 333;-8.59275;116.10472222;16/04/2018;15/04/2028;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Broadcast;FM;KOTA MATARAM;NUSA TENGGARA BARAT;KOTA MATARAM;1035;LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA;019332092020;0954554;Granted;;104.2;;300;72.2897;02335095-000SU/2020202025;0001;LPP RRI MATARAM 104.2 MHz;KOMPLEK PEMANCAR Jl. MAJAPAHIT, TAMAN SARI,;-8.57938333;116.08264722;07/09/2020;06/09/2025;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;JL. PONDOK INDAH LINGKUNGAN PEKANDELAN JEMPONG BARU, KOTA MATARAM, SEKARBELA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00114129;SD ISLAM TERPADU ANAK SHOLEH 2 MATARAM;030149112018;0663509;Granted;;160.575;160.575;16;36.9897;02066089-000SU/0620182023;0001;HT. 01 BERGERAK SEKITAR JL. PONDOK INDAH LINGKUNGAN;JL. PONDOK INDAH LINGKUNGAN PEKANDELAN JEMPONG BARU;-8.62277778;116.09472222;03/12/2018;02/12/2028;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN PROKLAMASI MANDALIKA SANDUBAYA, KOTA MATARAM, SANDUBAYA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00114383;CIPTA PERISAI MANDIRI, PT.;033291012019;0680138;Granted;;160.35;160.35;16;36.9897;02082965-000SU/0620192024;0001;HT. 01 BERGERAK SEKITARJALAN PROKLAMASI MANDALIKA SANDUBAYA;JALAN PROKLAMASI MANDALIKA SANDUBAYA;-8.59645;116.15419722;06/02/2019;05/02/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN HOS COKROAMINOTO NO. 25 A MATARAM, KOTA MATARAM, SELAPRANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00114412;CV. MATRIX COMPUTER;033788022019;0682442;Granted;;150.5;150.5;16;36.9897;02085634-000SU/0620192024;0002;HT. 02 - 05 BERGERAK SEKITAR JALAN HOS COKROAMINOTO NO. 25A;JALAN HOS COKROAMINOTO NO. 25 A MATARAM;-8.57833611;116.11166944;15/02/2019;14/02/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN HOS COKROAMINOTO NO. 5 MATARAM, KOTA MATARAM, SELAPRANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00104407;LAPAS PEREMPUAN MATARAM;033730022019;0682213;Granted;;168.375;168.375;16;36.9897;02085627-000SU/0620192024;0001;HT. 01 BERGERAK SEKITAR JALAN HOS COKROAMINOTO;JALAN HOS COKROAMINOTO NO. 5 MATARAM;-8.58127778;116.10888889;15/02/2019;14/02/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. MAJAPAHIT 10 C KEKALIK JAYA, KOTA MATARAM, SEKARBELA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00111669;PERMATA HATI MATARAM, PT.;030459082017;0483037;Granted;;155.35;155.35;16;36.9897;01951778-000SU/0620172022;0002;HT.2-3 RSIA PERMATA HATI;JL. MAJAPAHIT 10 C KEKALIK JAYA;-8.58530556;116.08802778;18/08/2017;16/08/2027;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;TRANSMART MATARAM JL. SELAPARANG, LINGKUNGAN SWETA TIMUR, KOTA MATARAM, CAKRANEGARA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00101091;TRANS RETAIL INDONESIA, PT.;037800052017;0436829;Granted;;354.925;354.925;16;36.9897;01942634-000SU/0620172022;0002;HT.2-30 SEKITAR TRANSMART MATARAM;TRANSMART MATARAM JL. SELAPARANG, LINGKUNGAN SWETA TIMUR;-8.59027778;116.14583333;31/05/2017;29/05/2027;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;Jl. Selaparang Cakranegara RT.005 RW.002 Kelurahan Mayura Kecamatan Cakranegara, KOTA MATARAM, CAKRANEGARA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00101091;TRANS RETAIL INDONESIA, PT.;038427062017;0438262;Granted;;353.45;353.45;16;36.9897;01945020-000SU/0620172022;0001;HT. 01 Bergerak di Mall Transmart Mataram;Jl. Selaparang Cakranegara RT.005 RW.002 Kelurahan Mayura Kecamatan Cakranegara;-8.59025;116.14586111;14/06/2017;12/06/2027;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;SIRWIJAYA NO 333, KOTA MATARAM, MATARAM, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00101197;MATAHARI PUTRA PRIMA;032735112016;0407728;Granted;;170.875;170.875;16;36.99;01916159-000SU/0620162021;0001;HT. 01 BERGERAK SEKITAR HYPERMART EPICENTRUM;SIRWIJAYA NO 333;-8.59255556;116.10519444;21/12/2016;20/12/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. SWASEMBADA NO.39 RT.011 RW.196 KEKALIK JAYA, KOTA MATARAM, SEKARBELA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00110403;CV. ANMELL JARINGNUSA;031152092016;0390669;Granted;;172.275;172.275;16;36.9897;01900167-000SU/0620162021;0002;HT.2-3 ANMELL JARINGNUSA;JL. SWASEMBADA NO.39 RT.011 RW.196 KEKALIK JAYA;-8.59433611;116.08965;10/10/2016;09/10/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. PANCA USAHA NO.1 KRL. CILINAYA, KOTA MATARAM, CAKRANEGARA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00110242;BRILLIAN PANCA KENCANA / ASTON INN MARATAM, PT.;030514082016;0386190;Granted;;171.75;171.75;16;36.99;01896551-000SU/0620162021;0002;HT.2-10 ASTON INN MATARAM;JL. PANCA USAHA NO.1 KRL. CILINAYA;-8.58827778;116.11780556;20/09/2016;19/09/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. UDAYANA NO. 20, KOTA MATARAM, SELAPARANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00109067;REGANDA PERSADA GROUP, PT.;036263012016;0352169;Granted;;151.925;151.925;16;36.99;01853165-000SU/0620162021;0002;HT. 02- 05 GRAND MADIUN;JL. UDAYANA NO. 20;-8.57536111;116.10277778;26/01/2016;25/01/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. JENDERAL SUDIRMAN NO. 40, KOTA MATARAM, SELAPARANG, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00109333;MATARAM ANDALAS SEMESTA;036875022016;0357501;Granted;;151.825;151.825;16;36.9897;01857632-000SU/0620162021;0002;HT. 02-13 BERGERAK SEKITAR JL. JEND. SUDIRMAN;JL. JENDERAL SUDIRMAN NO. 40;-8.56461111;116.12102778;22/02/2016;21/02/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. SRIWIJAYA NO.333 KEL. LOMOK, KOTA MATARAM, NUSA TENGGARA BARAT, MATARA;NUSA TENGGARA BARAT;KOTA MATARAM;00103683;ASPIRASI HIDUP INDONESIA TBK., PT.;034776092015;0207970;Granted;;170.525;170.525;16;36.9897;01830072-000SU/0620152020;0002;HT.01 - HT.10 BERGERAK SEKITAR JL.SRIWIJAYA LOMBOK /1;JL. SRIWIJAYA NO.333 KEL. LOMOK;-8.59477778;116.10386111;15/09/2015;14/09/2025;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL. SRIWIJAYA NO. 38, KOTA MATARAM, NUSA TENGGARA BARAT, CAKRANEGAR;NUSA TENGGARA BARAT;KOTA MATARAM;00108149;GOLDEN PALM SURYATAMA (GOLDEN PALACE HOTEL LOMBOK), PT.;034435072015;0201828;Granted;;150.875;150.875;16;36.9897;01822977-000SU/0620152020;0001;HT. 01-20 BERGERAK SEKITAR JL. SRIWIJAYA NO. 38;JL. SRIWIJAYA NO. 38;-8.59436111;116.121975;31/07/2015;30/07/2025;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;BERGERAK SEKITAR JL. SRIWIJAYA NO. 95;NUSA TENGGARA BARAT;KOTA MATARAM;00105280;MATARAM CITRA NUSA, CV.;031755112014;0166467;Granted;;170.575;170.575;16;36.9897;01793180-000SU/0620152020;0001;0001/HT.01-06 BERGERAK SEKITAR JL. SRIWIJAYA NO. 95;BERGERAK SEKITAR JL. SRIWIJAYA NO. 95;-8.59513889;116.11605556;18/02/2015;17/02/2025;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Broadcast;FM;KOTA MATARAM;NUSA TENGGARA BARAT;KOTA MATARAM;5846;RADIO SUTA REMAJA, PT.;010589072015;0201557;Granted;;91.6;;300;66;01823865-000SU/2020152020;0001;SUTRA BANDAR DANGDUT LOMBOK;JL. LINGKAR SELATAN NO. 369, KEL. JEMPONG BARU;-8.61888889;116.095;03/08/2015;02/08/2025;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;JALAN PRABU RANGKASARI DASAN CERMEN, KOTA MATARAM, SANDUBAYA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00119134;RUMAH SAKIT UMUM DAERAH PROVINSI NTB;035707022022;1247484;Granted;;430.25;434.25;25;40;02531000-000SU/0620222027;0002;HT. 01-40 BERGERAK DISEKITAR KECAMATAN SANDUBAYA;JALAN PRABU RANGKASARI DASAN CERMEN;-8.60791667;116.13211111;03/02/2022;02/02/2027;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;6. Komrad UHF (430 – 460 MHz)
Broadcast;FM;KOTA MATARAM;NUSA TENGGARA BARAT;KOTA MATARAM;6808;RADIO SWARA MAYAPESONA INDAH, PT.;018339062020;0905770;Granted;;98.3;;300;63.0309;02292371-000SU/2020202025;0001;Mayapesona FM;Jl. Tuan Guru Haji Faisal No.23, Bertais, Cakranegara, Mataram, NTB 83234;-8.59366667;116.15472222;12/06/2020;11/06/2025;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Broadcast;FM;KOTA MATARAM;NUSA TENGGARA BARAT;KOTA MATARAM;8252;RADIO CITRASUARA NUANSA LOMBOK, PT.;018886072020;0930492;Granted;;95.1;;300;64.0309;02311666-000SU/2020202025;0001;CNL Radio Action;JL. HARIMAU NO. 20, MATARAM TIMUR,;-8.583;116.10952778;27/07/2020;26/07/2025;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;1. Radio FM, DRM  (87 – 108 MHz)
Land Mobile (private);Standard;JL. LANGKO 83 AMPENAN, DESA TAMANSARI, KELURAHAN AMPENAN, MATARAM, NTB,KOTA MATARAM,AMPENAN,NUSA TENGGARA BARAT,TAMAN SARI;NUSA TENGGARA BARAT;KOTA MATARAM;1035;LEMBAGA PENYIARAN PUBLIK RADIO REPUBLIK INDONESIA;034208032023;1805494/1;Granted;;348.075;;150;43.831;02693245-000SU/2620232028;0001;LPP RRI MATARAM;JL. LANGKO 83 AMPENAN, DESA TAMANSARI, KELURAHAN AMPENAN, MATARAM, NTB;-8.57833333;116.08519444;09/07/2024;17/04/2028;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Land Mobile (private);Standard;JALAN DR. R SOEDJONO LINGKAR SELATAN KECAMATAN SEKARBELA, KOTA MATARAM, SEKARBELA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00105194;BADAN PENGELOLA ASRAMA HAJI;037930052021;1111849;Granted;;173.65;173.65;16;45.9794;02451371-000SU/2620212026;0001;BS. UPT ASRAMA HAJI EMBARKASI LOMBOOK;JALAN DR. R SOEDJONO LINGKAR SELATAN KECAMATAN SEKARBELA;-8.62072222;116.0815;18/05/2021;17/05/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JL SANDUBAYA BERTAIS, KOTA MATARAM, SANDUBAYA, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00103494;PLN (PERSERO), PT.;037618102021;1185257;Granted;;350.25;355.25;16;45.9794;02492477-000SU/2620212026;00011;BS. 11 GI NEW MATARAM (19);JL SANDUBAYA BERTAIS;-8.59224722;116.16628056;19/10/2021;18/10/2026;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
Maritime;Coast Station;TERMINAL BBM AMPENAN  JL.PERTAMINA KEL.AMPENAN UTARA,KOTA MATARAM,AMPENAN,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00108233;PERTAMINA TRANS KONTINENTAL, PT.;0188310;155/P/SDPPI/2022/2;Granted;;156.45;156.45;7250;0;;0001;AMPENAN RADIO;TERMINAL BBM AMPENAN  JL.PERTAMINA KEL.AMPENAN UTARA;-8.56916667;116.07333333;25/07/2023;23/06/2027;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Maritime;Coast Station;TERMINAL BBM AMPENAN  JL.PERTAMINA KEL.AMPENAN UTARA,KOTA MATARAM,AMPENAN,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00108233;PERTAMINA TRANS KONTINENTAL, PT.;0188310;155/P/SDPPI/2022/2;Granted;;161.55;156.45;7250;0;;0001;AMPENAN RADIO;TERMINAL BBM AMPENAN  JL.PERTAMINA KEL.AMPENAN UTARA;-8.56916667;116.07333333;25/07/2023;23/06/2027;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Maritime;Coast Station;TERMINAL BBM AMPENAN  JL.PERTAMINA KEL.AMPENAN UTARA,KOTA MATARAM,AMPENAN,NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00108233;PERTAMINA TRANS KONTINENTAL, PT.;0188310;155/P/SDPPI/2022/2;Granted;;156.8;156.45;7250;0;;0001;AMPENAN RADIO;TERMINAL BBM AMPENAN  JL.PERTAMINA KEL.AMPENAN UTARA;-8.56916667;116.07333333;25/07/2023;23/06/2027;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;VHF;3. Komrat VHF, Instanssi Pemerintah/Badan Usaha Keperluan Publik, Maritim VHF (137 - 174 MHz)
Land Mobile (private);Standard;JALAN CATUR WARGA KELURAHAN MATARAM TIMUR, KOTA MATARAM, MATARAM, NUSA TENGGARA BARAT;NUSA TENGGARA BARAT;KOTA MATARAM;00103494;PLN (PERSERO), PT.;036806042019;0699153;Granted;;364.025;364.025;16;45.9794;02099790-000SU/2620192024;0004;BS. SLAVE LBS RSI;JALAN CATUR WARGA KELURAHAN MATARAM TIMUR;-8.58759167;116.11580556;16/04/2019;15/04/2029;;;;;KOTA MATARAM;Balai Monitor SFR Kelas II Mataram;UHF;5. Tetap, Bergerak, Marabahaya (300 – 430 MHz)
